State,City,Total_Sales,Average_Profit
Andhra Pradesh,Hyderabad,13256.0,-11.80952380952381
Bihar,Patna,12943.0,-5.17741935483871
Delhi,Delhi,22531.0,40.36486486486486
Goa,Goa,6705.0,8.604651162790697
Gujarat,Ahmedabad,14230.0,-14.193548387096774
Gujarat,Surat,6828.0,53.8
Haryana,Chandigarh,8863.0,50.96153846153846
Himachal Pradesh,Simla,8666.0,22.620689655172413
Jammu and Kashmir,Kashmir,10829.0,0.16326530612244897
Karnataka,Bangalore,15058.0,11.944444444444445
Kerala ,Thiruvananthapuram,13459.0,41.577777777777776
Madhya Pradesh,Bhopal,23583.0,13.196969696969697
Madhya Pradesh,Delhi,2488.0,74.42857142857143
Madhya Pradesh,Indore,79069.0,15.576779026217228
Maharashtra,Mumbai,61867.0,7.908212560386473
Maharashtra,Pune,33481.0,54.68674698795181
Nagaland,Kohima,11903.0,3.2888888888888888
Punjab,Amritsar,4507.0,36.266666666666666
Punjab,Chandigarh,12279.0,-25.622222222222224
Rajasthan,Jaipur,10076.0,-17.113636363636363
Rajasthan,Udaipur,11073.0,67.0
Sikkim,Gangtok,5276.0,16.708333333333332
Tamil Nadu,Chennai,6087.0,-88.64
Uttar Pradesh,Allahabad,16857.0,102.7
Uttar Pradesh,Lucknow,5502.0,4.105263157894737
West Bengal,Kolkata,14086.0,39.682539682539684
